nombre,contacto,telefono,email,direccion
Proveedor 28,Amanda Rosario,(631)273-9036,aldonza69@yahoo.com,"Avenida Ponce 806 383, San Aurora los altos, GTO 68233-9993"
Proveedor 29,María Germán Corrales Montalvo,472.544.9190,padronagustin@gmail.com,"Calzada Namibia 284 463, San Rosa los bajos, MICH 41858"
Proveedor 30,Cristian Botello,681.011.6965x10692,damaya@laboratorios.net,"Callejón Sur Casillas 788 Interior 782, San Anabel los altos, CHIS 73149-6906"
Proveedor 31,Espartaco Irizarry,979-053-8957x181,higlesias@gomez-carranza.com,"Eje vial Brunei Darussalam 750 Interior 728, San Eloy los bajos, YUC 58727"
Proveedor 32,Mariano Ulloa Salcido,945.298.6674x477,camilotejada@yahoo.com,"Corredor Distrito Federal 654 Interior 636, Nueva Eritrea, CAMP 77124-0203"
Proveedor 33,Lic. María Elena Pichardo,338-628-6758,rinconvioleta@hotmail.com,"Circuito Ávila 926 Interior 274, San Camila los bajos, NL 67730"
Proveedor 34,Cornelio Uribe Bonilla,1-127-656-0150,guillermofierro@yahoo.com,"Circuito Ecuador 506 Interior 741, Vieja Lituania, VER 50216-2503"
Proveedor 35,Ramón Romero Valadez,+34(3)5151601273,jsoliz@mojica.info,"Prolongación Aguascalientes 920 654, Nueva Guinea Ecuatorial, BC 17924-5626"
Proveedor 36,Lic. Hernán Arias,331.092.6832,carlosmacias@hotmail.com,"Circuito López 509 231, San Mónica los altos, AGS 23970-6008"
Proveedor 37,Concepción Villalpando Gamez,529.144.7286x334,maria-cristinapichardo@despacho.com,"Eje vial Esparza 678 Edif. 060 , Depto. 692, San Guillermina de la Montaña, Q. ROO 07739-2617"
Proveedor 38,Dr. Minerva Orellana,923.857.1567x3678,rosario30@yahoo.com,"Diagonal República Democrática Popular Lao 324 Edif. 460 , Depto. 330, San Abel los altos, TAMPS 81437"
Proveedor 39,Celia Arteaga Orta,1-454-388-8843,vegazoe@despacho.com,"Privada Cornejo 379 Edif. 500 , Depto. 380, Vieja Suecia, QRO 11404-6999"
Proveedor 40,Abel Ruby Zayas Abreu,154-654-3684,casareznatividad@gmail.com,"Cerrada Palau 076 713, San José María de la Montaña, COL 69556-9156"
Proveedor 41,María Teresa Dulce Fajardo,(686)107-7630x7542,verabernardo@mejia.com,"Peatonal Urrutia 313 Interior 687, San Marisela los bajos, COL 72298-0021"
Proveedor 42,Leticia Mascareñas,(191)209-3889,ulibarrilucas@gmail.com,"Cerrada Arias 595 247, Nueva Gambia, TAB 48345-4143"
Proveedor 43,José Eduardo Maestas,+07(1)5527264878,hcenteno@mendez-resendez.info,"Cerrada Sur Montero 319 053, San Abraham los altos, COAH 81628"
Proveedor 44,Oswaldo Adela Mireles,162.824.1675x8044,ngracia@hotmail.com,"Andador Manzanares 386 Interior 264, Vieja Federación de Rusia, JAL 22091-0077"
Proveedor 45,Anabel Galván,470.459.6903x9279,fnieto@guerra-ojeda.com,"Retorno Sur Reséndez 128 672, San María Cristina los altos, SIN 84505-3151"
Proveedor 46,Guillermo Zeferino Malave Galindo,668.076.2908x266,indira13@hotmail.com,"Periférico Sonora 446 Edif. 008 , Depto. 085, Nueva Angola, BCS 83082-2785"
Proveedor 47,Gabriel Villagómez,(794)122-9694x630,ivansantana@yahoo.com,"Eje vial Sur Beltrán 247 Interior 597, San Jacobo los altos, Q. ROO 75157"
Proveedor 48,Sr(a). Eloisa Nieto,1-580-248-1888,calderajuan@gollum-almonte.com,"Continuación Reynoso 009 075, Nueva Etiopía, COAH 05242-7500"
Proveedor 49,Alta  Gracia Angélica Jáquez,07487976470,apodacacarlota@yahoo.com,"Diagonal Sur Cervántez 168 030, San Vicente los altos, NAY 06653"
Proveedor 50,Mtro. Abril Zaragoza,1-802-718-7594x568,castrojaqueline@hotmail.com,"Continuación Estrada 514 285, San Teresa de la Montaña, GRO 21971-0306"
